,Title,Sub_Title,News_Link
0,'DISGUSTED AND SADDENED',Brentford condemn racist abuse aimed at Toney after Arsenal goal,https://www.thesun.co.uk/sport/21359824/brentford-condemn-racist-abuse-aimed-toney-arsenal-goal/
1,JES MAN,Southampton 'considering shock Jesse Marsch swoop as Nathan Jones replacement',https://www.thesun.co.uk/sport/21361523/southampton-considering-jesse-marsch-nathan-jones-replacement-leeds/
2,TOFF LUCK,Liverpool dealt another huge injury blow with Thiago out of Everton derby clash,https://www.thesun.co.uk/sport/21361526/liverpool-injury-thiago-everton/
3,FAN SHAME,Man Utd and Leeds release joint statements slamming supporters for vile chants,https://www.thesun.co.uk/sport/21361493/man-utd-leeds-condemn-tragedy-chants/
4,MAN UTD RATINGS,Rashford steps up to save the day again while Maguire continues to struggle,https://www.thesun.co.uk/sport/21360634/man-utd-player-ratings-rashford-maguire/
5,STEP BROTHERS,Fans loving bizarre bromance between Man Utd legend Roy Keane & Will Ferrell,https://www.thesun.co.uk/sport/21360897/man-utd-roy-keane-will-ferrell-bromance/
6,'DR OCTOPUS',Fans in stitches as Sky Sports make awkward Leeds v Man Utd team graphic gaffe,https://www.thesun.co.uk/sport/21360535/sky-sports-gaffe-leeds-man-utd/
7,NEV BLAST,Furious Gary Neville slams Man Utd’s ‘stupid and slow’ play during Leeds clash,https://www.thesun.co.uk/sport/21361321/neville-slams-man-utd-play-leeds-match/
8,POTT LUCK,Chelsea great Terry says 'results are not good enough' in scathing Potter rant,https://www.thesun.co.uk/sport/21358950/chelsea-news-graham-potter-john-terry/
9,READY TO JOAO,Joao Felix says Chelsea must WIN Champions League ahead of Dortmund game,https://www.thesun.co.uk/sport/21359210/joao-felix-chelsea-must-win-champions-league/
10,REUD AWAKENING,Sacked Ajax boss at Leeds vs Man Utd & is 'serious target' to replace Marsch,https://www.thesun.co.uk/sport/21360751/alfred-schreuder-leeds-man-utd-new-manager-ajax/
11,THE RIGHT TONE,Gary Neville likes Ivan Toney tweet slating disallowed goal vs Arsenal,https://www.thesun.co.uk/sport/21359681/man-utd-gary-neville-toney-tweet/
12,GO GET VIT,Arsenal 'open talks' with Brazil striker Roque in bid to beat Chelsea and PSG,https://www.thesun.co.uk/sport/21358998/arsenal-transfer-brazil-vitor-roque-chelsea-barcelona-psg/
13,TAKEOVER TALKS,Glazers argue over Man Utd sale price as Saudi bidders prepare to join race,https://www.thesun.co.uk/sport/21358540/man-utd-owners-glazers-selling-price-saudi/
14,LEFT HIS MARC,Mudryk ‘likes’ Insta post blasting team-mate Cucurella after West Ham draw,https://www.thesun.co.uk/sport/21357272/chelsea-mykhailo-mudryk-instagram-cucurella/
15,JUR REAL DEAL,Real Madrid 'want Klopp as next boss' and hope Bellingham deal will seal move,https://www.thesun.co.uk/sport/21358797/real-madrid-liverpool-jurgen-klopp-carlo-ancelotti-bellingham-transfer/
16,VAR-Y POOR,Arsenal & Brighton contacted by refs chief following ‘significant human errors’,https://www.thesun.co.uk/sport/21360443/arsenal-brighton-referees-errors-var-premier-league/
17,PORR FORM,Tim Sherwood savages Spurs' Pedro Porro as he claims £42m transfer is 'so bad',https://www.thesun.co.uk/sport/21359658/tim-sherwood-savages-tottenham-pedro-porro-bad/
18,RASH STASH CASH,Rashford sets up security firm to protect pals' assets after spate of raids,https://www.thesun.co.uk/sport/21356639/marcus-rashford-firm-protect-assets-home-raids/
19,TOP PICK,Dyche demands new Pickford deal as Everton look to stave off Man Utd interest,https://www.thesun.co.uk/sport/21355655/jordan-pickford-everton-contract-dyche-man-utd-transfer/
20,'PRETTY STRAIGHTFORWARD',Roy Keane gives brutally blunt view on City’s financial breaches,https://www.thesun.co.uk/sport/21361583/roy-keane-man-city-breaches/
